SEC_NUMBER,ACCOUNT_NUMBER
32044a0bbb0f2b267beda47a9aee5782,00511e384a36c88bbaa41a23aff7bea9
89d383e47f01c4d5dad3f045f0c57e6f,00c28ac3f58f7dfd75198ae0f08fddf0
cd0d4a6163d9cf7afc511ee6954a2c71,00dc562784141cb0e4caedb104837023
c4607e8caa1ede23f1a174c2f0917b22,016f64964d2fa4468f0c913c98d9d3c7
c888b34766c33082362e32e69a4f3200,02558e9535d0cdeae461f11fac395bf5
b6683174fc5ed2382d6728ede105edf6,0265e01541b76a42a38204f2c4163a26
0a25df213954324320ff484ca5b37f81,0265e01541b76a42a38204f2c4163a26
03030e011fecd9595f6387212ed9ed52,0294b5430da7f5b12b3bae0cd055acb7
d80bcd591f11b8f604b94b7c8b1808b3,02c45fa01bbbf4b7d3ed1af17bb1a1c3
89f0191f7894441e5869b7db0aba5047,02cf51af4b94297db930914def10ffbf
5e7890f776fb85bca942af27b0efe81f,03f8e1939a6186e3b5270352c7733eca
7ca5869b69bd4fd68b2c7fd7d77b6475,041f9cb4f7316c337a3fe9747568bcee
053c0513c6fc5b71f1e75d5ecc69ceef,051707a91b305cb6534132b29778b3e4
d5dfac53eb01fa20615cc6cf1301e9da,052e26fa9242af8432a2b8cc4124bc99
c59f357db1778905fb94910295effc2c,05b4429bee91c29bc77ddad7cabb04fb
0b93dc37627faed02ca837e422f29517,05b4429bee91c29bc77ddad7cabb04fb
c3d8618e761f8c81136df058510a34d3,05d5e58fe09111439171fc61ad644a7c
3d23d15e2e861d31a4f265dc815a6047,05d894cee720af75916295be7a422c5b
b0693d139857659b50236c9fc6b7e64d,0636b8336b6ba39fc0925bd57662c097
977d839a17b96b39fa912caea7355939,0651d6bcee73a083792baeb2afe798d8
0172b25d4aee219aad77ac8e8859716f,06947464e0a9c5d091873463c853532f
556ecfbf8a643ec79dfc036a606b8df9,069f988c12d0cafe966ffa5b60b4350a
a62420769b5e3642fd80e70bae93439c,06cd4f253948e97b59a0940453703190
316f37d8d453f69efba04336e4284044,06f03da33fdbc39cb7c62f80726fc088
2363e7105877492cc0b1d134e339da35,0731e8d7d7362e41a475784e210e3bf2
efcab5f15de8870015016373189cccd4,074636c1953e0309f128d57dcc8e253e
7bad9706bf29f1a541acce335cca2e95,074636c1953e0309f128d57dcc8e253e
c32dd806e39c3edfecc9c5e7f904135f,074a09deaf8b410c3ad1a35b77fb541b
