exposure_type,account_number,entity_code,entity_name,account_status,account_balance,product_code,product_subcode,cost_center,days_delinquent,days_delinquent_bucket,npl_flag,date_opened
Current Account,241ffbd530734b03b1634355bd9a90b3,513b350385fb187b2de5afa4650cdf85,Legal Entity E,Closed,0,CA,02,02ade6aa436f7824268cb39099b3b99b,0,0,false,2003-09-22
Current Account,54baeb49834be924cc8e9599221b9caf,513b350385fb187b2de5afa4650cdf85,Legal Entity E,Open,0,CA,03,032c5d55dccb02b5a9313ee5d4c82a87,0,0,false,2018-05-09
Current Account,056856f14821f3180e14d386462279c5,513b350385fb187b2de5afa4650cdf85,Legal Entity E,Closed,0,CA,02,032c5d55dccb02b5a9313ee5d4c82a87,0,0,false,2006-08-17
Current Account,48b920928549219a4250814a50cd47cc,513b350385fb187b2de5afa4650cdf85,Legal Entity E,Open,0,CA,03,032c5d55dccb02b5a9313ee5d4c82a87,0,0,false,2018-09-23
Current Account,840930547bdc81b4ccb7ba2da618ec21,513b350385fb187b2de5afa4650cdf85,Legal Entity E,Open,0,CA,01,0938b69eb4a8c43416ba7b45a8f74cff,0,0,true,2005-06-17
Current Account,2b5241140b92ad52552d5d0d3faa4e97,513b350385fb187b2de5afa4650cdf85,Legal Entity E,Open,0,CA,01,0938b69eb4a8c43416ba7b45a8f74cff,0,0,true,2020-08-17
Loan,ba8f0b9c8494c07fa823161ebd1294fc,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,290000,LOAN,01,14a189dd169932f45f1876b55854cd61,0,0,false,1998-11-05
Loan,c3c46113bcf75e0f020db81673e8718a,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,265000,LOAN,01,15c7b361dae713fdd0aae7a767e05559,0,0,false,1998-01-19
Loan,fdf82e3b25cf483694f90e7af09b053e,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,101000,LOAN,03,15c7b361dae713fdd0aae7a767e05559,0,0,false,2007-11-03
Current Account,3c168eff3e5c88d4600625170aa41c42,513b350385fb187b2de5afa4650cdf85,Legal Entity E,Open,0,CA,01,15ecd21641bf9f4098f766b69b797fbb,0,0,true,2020-02-02
Current Account,0655329ffd4ea4de4b1d386bb68392e6,1f7e68f1772022850e1287cb0dd3d3b9,Legal Entity A,Open,0,CA,03,1718ad2436e688910a2076562c482142,0,0,false,2016-08-09
